# f0,f1,f2,f3,f4
-1.878231636193933574e-01,-8.855066155085410118e-02,-5.505674924308436545e-03,9.524850669924916913e-02,1.153886663887945460e-02
-3.829412342886027165e-01,-7.844654917814750106e-02,-1.310689616301658617e-02,6.616699594342378976e-02,1.591367646348842979e-02
1.234696444956321637e-01,-1.910332414395691236e-01,-1.524431375779897700e-02,-1.746628093893008368e-02,1.816285869140642564e-02
-5.471927880900488983e-01,-1.964011470326209874e-01,1.200147703215179813e-03,5.819883088594963311e-02,-6.838028212837059250e-02
-3.977152237291582404e-01,-5.044479779596144908e-02,-1.532367980556159637e-02,7.215878684714396862e-02,2.326584140907925896e-02
-5.948749803941586478e-01,-1.829640886317218940e-01,-4.189220734346577046e-03,-1.649546707171339333e-01,-3.752562102017634182e-02
5.287498251526000503e-01,5.116382356916822083e-01,1.079206639265635134e-02,8.179436132895290257e-02,1.062717801391983158e-02
-4.088818323770576080e-01,-1.077036087724445729e-01,-1.514513044033492448e-02,6.879682482060289761e-02,2.383970644443650019e-02
2.824462636924775505e-01,-8.034136389922935662e-02,-5.386407356638756028e-03,2.591929749491157699e-03,1.040192124191634086e-02
4.766226595986819414e-01,1.440796691848441891e-01,1.026204525772982448e-02,1.578576266487201063e-01,2.412963679268130893e-02
4.530718692181595619e-01,-9.724447650322645340e-03,2.129513737908268756e-02,1.614608638875668634e-01,1.601955132481947333e-02
-6.739632611580907984e-01,-2.105961212984306108e-01,-6.041910799443428286e-03,-3.855206234198891302e-01,-8.716802375858946628e-02
-3.130236128531890816e-02,-1.659693885644412670e-01,-1.478054519694126101e-02,3.216639096277077586e-02,1.389087858786311296e-02
4.398532464012817056e-01,-6.218454695134169839e-03,1.942017246653222201e-02,9.519289219670695745e-02,1.456019557926453017e-02
-5.717144060150018969e-01,-1.776185073855771068e-01,-2.995718813449457178e-03,-1.474799070804740930e-01,1.502687628662101836e-02
-5.769372093669403734e-01,-1.815929701662838680e-01,-3.829436535564241257e-03,-1.373915208963879253e-01,-2.437816753218271376e-02
-6.583432376398274943e-01,-1.985666847904593579e-01,-6.523676638217921174e-03,-3.419363331961778885e-01,-4.966191732763036021e-02
4.386667276756281986e-01,-1.105729539036445948e-02,1.322704788214366586e-02,1.064798698533107324e-01,1.901570884794097013e-02
-5.975707335068420889e-01,-1.843507506892723413e-01,-5.053975743030037285e-03,-1.959388447537074307e-01,-1.228092071199057486e-02
1.693102273472587294e-01,-1.952364755405881225e-01,-1.203687495670863021e-02,-1.610351831228484798e-02,6.546207885320569526e-03
2.728571639422867068e-01,-9.787960300616589671e-02,-2.282324807923145991e-03,2.706330137112047257e-03,4.988430243830634797e-03
5.495702560226169986e-01,5.169226750234878764e-01,9.763969727511040073e-03,1.843132289934376888e-01,2.062376322473397777e-02
-6.607583515413421038e-01,-2.036890019947537600e-01,-4.161248861240380431e-03,-3.939683042320331063e-01,-3.534605064330946511e-02
-7.822157473743658607e-02,-4.709121568205773545e-02,-9.329228165753419844e-03,7.234669864393054872e-02,1.378729806442123562e-02
-5.518885416536317701e-01,-1.775818817230623292e-01,-1.614952416454116212e-03,-5.075790028151118405e-02,-1.962366257483608850e-02
3.793049516164447299e-01,-9.302875953019963673e-02,-9.658392161922506672e-03,2.862950314609236189e-03,1.155968721495511872e-02
4.782992583551714527e-01,2.344177551710946161e-01,1.083643240589253834e-02,9.343629222582905403e-02,1.349714217771094162e-02
2.401734203032512560e-01,-7.546484841082644335e-02,-3.648739016806530362e-03,-4.680448628234614751e-03,1.492463692763180971e-02
2.677749079265913656e-01,-1.280913723865506892e-01,-8.941375375770235778e-03,-1.177006187367908270e-03,1.042235754684156697e-02
-5.578622813058893293e-01,-1.807481701643058603e-01,-2.139327629099625587e-03,-9.714183866249555266e-02,6.889742452941618155e-03
3.016016260346097710e-01,-9.234795295193350129e-02,8.328580936125718100e-04,6.682815802526249384e-03,8.867746656140412104e-03
-6.080703298333992590e-01,-1.850716043003552691e-01,-5.454052661436889667e-03,-1.632920149125965392e-01,-8.529828009375194087e-02
-1.068122350512595679e-02,-8.883235759615332183e-02,-1.296132689051660188e-02,3.947649936510444491e-02,1.350268041820754626e-02
-5.914828095639063088e-01,-1.909155956938747012e-01,-5.458342243971400949e-03,-1.068726736870166810e-01,-8.678688578067010606e-02
4.359653154615497628e-01,2.841360766378556862e-02,5.711519781973492874e-03,8.207220969884616857e-02,8.399296057142180416e-03
5.633080771456167035e-01,5.776336940567898814e-01,9.140970863137453870e-03,2.009128152506576837e-01,2.211119793111521528e-02
3.839190436772284554e-01,-9.233156702799874549e-02,-9.227786788156890421e-03,4.957148541122080934e-03,9.926112239826352310e-03
-5.679159953728378785e-01,-1.829310096772684413e-01,-2.711098579970325564e-03,-2.883179914296022175e-02,-6.560567333123629163e-02
-7.025410665872198201e-01,-2.134385690202572072e-01,-5.347794292864875912e-03,-5.028193011796326939e-01,-8.542284552962825517e-02
4.832452932077279661e-01,1.753215797737036064e-01,8.890517876715194057e-03,1.575246710100824954e-01,2.595170192136635190e-02
5.202470561682190908e-01,3.556795255623653174e-01,1.124162324978556123e-02,1.961309850676306588e-01,2.163898150685298477e-02
-6.854947627020316903e-01,-2.128504335187898222e-01,-3.697535337286979220e-03,-4.365944805308867860e-01,-8.646329847245681766e-02
-6.133420023680343780e-01,-1.855226280066136768e-01,-3.610291318994995847e-04,-1.998458154406518028e-01,-5.536497714226868566e-02
