# f0,f1,f2,f3,f4
-3.006706155794791058e-01,-1.077566157067849362e-01,-8.550597182420460523e-04,1.091050767994693194e-01,2.075676121495917056e-02
4.488061855584828397e-01,-1.271755056530309846e-01,1.319228064444359985e-03,-9.733236536651474272e-03,1.393039487165879074e-02
2.392898465130474384e-01,-1.134216076374468668e-01,-3.042668601233344578e-04,-2.392411176899031378e-02,1.625862517724499523e-02
-6.217622849475128444e-01,-1.079747570586732791e-01,2.956388468892328075e-03,-9.439548466869268628e-02,2.966947601549236452e-02
-6.188639111507927559e-01,-1.139112861206763166e-01,-2.318652039170956448e-03,6.004635385191193359e-02,-6.145238533387555740e-02
-5.942443487369928334e-01,-1.125014285457473368e-01,3.740517732894659084e-03,-1.255175242550535600e-02,3.192732765180153476e-02
-6.332734419463486031e-01,-1.079001439649255184e-01,4.554909797934669725e-04,-3.812313147340603420e-02,-4.706618608098778883e-02
-7.902218725873353389e-01,-1.066706023438337009e-01,8.502606338311125217e-04,-4.489863725262284722e-01,-6.361365218894206308e-02
-2.352741876763684570e-01,-6.509006726205371351e-02,-2.682039946694203493e-04,1.246848223968231584e-01,2.333134737242516937e-02
5.983810310655462983e-01,3.323664875485383141e-01,-1.361430195797765866e-03,1.347813802192263100e-01,1.551582261445901174e-02
-7.380037324433669221e-01,-1.053746481280677522e-01,-1.023632096616893319e-03,-3.225165446390184099e-01,-3.521009610110922838e-02
3.506966869618690641e-01,-1.393152796211870603e-01,8.004830360596315716e-04,-1.589107017176729503e-02,1.349094803580555904e-02
5.193315925054776266e-02,-1.699216297852035595e-01,-7.731693496725711547e-04,9.138594641724466852e-03,1.677895800115720634e-02
-6.681057925328423019e-01,-1.052926671583873097e-01,1.429247126657173707e-03,-1.469495277783545439e-01,-3.522651107547516980e-02
-6.649336421978978562e-01,-1.052734497470464714e-01,1.729134254890141121e-03,-1.495303940595596182e-01,-3.810262021145718186e-02
-7.219744922772406426e-01,-1.076291150823669857e-01,2.625264737275756271e-04,-2.584196393156406590e-01,-7.923055592665149971e-02
-7.025676986384314926e-01,-1.064100542912137792e-01,3.406505364182521698e-04,-2.474875777372909647e-01,-2.357955387419224252e-02
6.445401707658038326e-01,4.522518407173128918e-01,-2.384073249004359105e-05,1.979163845767902830e-01,1.520173019746806631e-02
6.355959627689616864e-01,4.557985508708179423e-01,-2.092730661615860164e-05,1.664335687581910972e-01,1.536056744780808087e-02
3.592179344772785110e-01,-1.204056333486369090e-01,-3.290216711479842810e-04,-1.525998175874292498e-02,1.574063401478952018e-02
-4.123497783502534930e-01,-3.910897650921014990e-02,-1.888384319227043187e-04,1.028038058227798562e-01,2.216881469870486329e-02
4.965669521398967667e-01,-6.577604899865491239e-02,-2.384279278294343352e-04,9.415866013088589059e-02,1.477765256538304990e-02
2.103815077187687066e-01,-2.141684864138460320e-01,3.741399910040854376e-04,-3.154420350741020396e-02,1.373634046429060562e-02
-6.435010051533481823e-01,-1.085867492185434435e-01,1.959965723845016189e-03,-1.419782769468736217e-01,2.529868931425426071e-02
5.793460259865150785e-01,2.072192091343197373e-01,-8.877884114599509952e-04,1.904130483479480052e-01,1.463811185586337202e-02
-6.243655272608157336e-01,-1.097367516955898709e-01,-7.682129434033413374e-04,1.941943763897995695e-02,-7.463124791657720081e-02
-2.433182464204219353e-01,-9.943299178137295080e-02,-9.958990651512066548e-04,1.208837693593886736e-01,2.226546858572646739e-02
-4.527931830342549757e-01,-4.960312089669969421e-02,-1.936638485767616527e-04,9.724779475022841957e-02,2.851572278352023163e-02
-6.644856428085950117e-01,-1.062788281993584799e-01,-1.017002946318825742e-03,-1.483344136021776116e-01,-1.688860549132641456e-02
5.915680951190097625e-01,3.111363716025470905e-01,-1.401787903182594077e-03,1.270784750637585503e-01,1.406124959124326751e-02
-6.840418465808443260e-01,-1.060366008610481026e-01,6.817707240384152144e-04,-1.599359167490109757e-01,-8.485697573519246362e-02
-6.062911141846143437e-01,-1.153874785738298603e-01,2.884273124482206359e-03,4.836279238961310734e-02,-1.828559035644502714e-02
5.668399064347431349e-01,2.539328077665277128e-01,-4.438428140974792725e-04,1.031394532003037101e-01,1.541855595667811912e-02
5.735698545671584769e-01,2.938811370433176973e-01,-2.957412018904505974e-03,8.471912534143712092e-02,1.467525110047290630e-02
4.387541705190415309e-01,-1.952049649312493917e-01,-6.386249098113694345e-04,-2.022424772087902042e-02,1.481312273677531238e-02
5.933452467981760181e-01,3.404762490995472124e-01,-2.504160554340160213e-03,1.175263405500254488e-01,1.443821683704527535e-02
6.519547228084547619e-02,-1.236071811752754018e-01,-9.744422566473076325e-04,1.671621283152035023e-02,1.672163485389546733e-02
6.293764321114440063e-01,4.316444235711924260e-01,-1.612353020211685370e-03,1.639910256026860247e-01,1.575749431451413385e-02
-7.198525116107066246e-01,-1.066490344281964958e-01,6.295164928314989127e-04,-2.561023286671598731e-01,-6.910889825122012997e-02
-4.140309945073659126e-01,-9.830752197953643301e-02,-1.147568793494428870e-03,9.311727122911178656e-02,2.065846276401998860e-02
-6.025555583090408396e-01,-1.114710050648091005e-01,1.627774132584818359e-03,-4.324385191039141485e-02,3.002343998191463539e-02
